epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,1481.72,1.09722,2.69766,1.61274,1.4343,0,0.43929,0.48248,0.39195,0.20211,0.42682,0.42938,0.37559,0.16042,1.56883,3.42598,2.20219,1.80295,0,0.0008516,0.0008516,0.0008516
60,1506.58,1.08513,2.6502,1.57339,1.42625,0,0.52871,0.36723,0.41765,0.21876,0.4389,0.42938,0.40747,0.18423,1.63171,3.3724,2.13301,1.77734,0,0.0008318,0.0008318,0.0008318
61,1531.54,1.03824,2.61215,1.5592,1.39025,0,0.51496,0.43503,0.43054,0.21481,0.50158,0.42373,0.4097,0.18292,1.61897,3.54193,2.21715,1.75564,0,0.000812,0.000812,0.000812
62,1556.52,1.06212,2.60824,1.5412,1.41317,0,0.38382,0.34463,0.28744,0.12627,0.35865,0.32203,0.26895,0.09952,1.67077,3.55173,2.48538,1.82124,0,0.0007922,0.0007922,0.0007922
63,1581.47,1.02903,2.54282,1.53284,1.39724,0,0.38312,0.45198,0.42375,0.21747,0.37403,0.41808,0.40371,0.18367,1.56527,3.2248,2.16451,1.72686,0,0.0007724,0.0007724,0.0007724
64,1606.6,1.04238,2.56665,1.55668,1.38312,0,0.43081,0.44633,0.36832,0.18265,0.43713,0.43503,0.37573,0.16298,1.72245,3.4849,2.21943,1.88826,0,0.0007526,0.0007526,0.0007526
65,1630.93,1.06302,2.59674,1.5441,1.39768,0,0.4782,0.49153,0.43237,0.21291,0.50884,0.46328,0.41504,0.18018,1.66887,3.57473,2.05722,1.8291,0,0.0007328,0.0007328,0.0007328
66,1655.6,1.00984,2.57759,1.49931,1.37199,0,0.52772,0.45198,0.44455,0.20841,0.49019,0.44002,0.40032,0.17627,1.63068,3.44225,2.19268,1.78437,0,0.000713,0.000713,0.000713
67,1679.8,1.04559,2.62841,1.55467,1.39302,0,0.52748,0.40996,0.41183,0.21287,0.52582,0.40723,0.40873,0.17803,1.62693,3.36418,2.14842,1.81067,0,0.0006932,0.0006932,0.0006932
68,1703.82,1.01332,2.52543,1.50185,1.38355,0,0.44456,0.47458,0.44237,0.23464,0.4423,0.48588,0.42353,0.18776,1.57215,3.47679,2.14907,1.72634,0,0.0006734,0.0006734,0.0006734
69,1728.29,0.97901,2.53414,1.50104,1.34909,0,0.36704,0.48588,0.38329,0.19148,0.35385,0.48588,0.3689,0.15957,1.59109,3.41356,2.20388,1.77686,0,0.0006536,0.0006536,0.0006536
70,1752.81,1.04239,2.55138,1.53093,1.37587,0,0.44833,0.51977,0.41241,0.19467,0.44188,0.50282,0.38424,0.15833,1.75258,3.63501,2.14629,1.86449,0,0.0006338,0.0006338,0.0006338
71,1777.07,1.01194,2.53306,1.514,1.37499,0,0.39055,0.50282,0.39843,0.21792,0.37203,0.46893,0.39009,0.17706,1.65081,3.52866,2.12985,1.80467,0,0.000614,0.000614,0.000614
72,1801.2,1.00049,2.57896,1.49728,1.36501,0,0.43943,0.48023,0.42528,0.2254,0.4672,0.48588,0.42725,0.18566,1.64781,3.37088,2.06811,1.78685,0,0.0005942,0.0005942,0.0005942
73,1825.63,0.99667,2.50541,1.44228,1.37146,0,0.45523,0.49153,0.40726,0.20012,0.45235,0.43867,0.40835,0.17411,1.69535,3.41977,2.20073,1.84709,0,0.0005744,0.0005744,0.0005744
74,1849.99,0.98344,2.49087,1.45381,1.35015,0,0.52814,0.45198,0.44149,0.22089,0.45544,0.48023,0.38718,0.17931,1.6676,3.38519,2.22429,1.84888,0,0.0005546,0.0005546,0.0005546
75,1874.03,0.99044,2.5135,1.43547,1.34969,0,0.42203,0.51412,0.41758,0.20673,0.43298,0.50282,0.40587,0.18305,1.6047,3.45219,2.18315,1.73513,0,0.0005348,0.0005348,0.0005348
76,1898.42,0.98712,2.52371,1.44877,1.35956,0,0.52118,0.44633,0.45452,0.23161,0.44501,0.45198,0.41638,0.18572,1.63636,3.349,2.14045,1.80601,0,0.000515,0.000515,0.000515
77,1922.59,1.00935,2.46886,1.45482,1.36426,0,0.47026,0.44633,0.44176,0.23178,0.46431,0.44068,0.41862,0.18253,1.66132,3.32336,2.16492,1.80138,0,0.0004952,0.0004952,0.0004952
78,1946.3,1.00225,2.45969,1.46241,1.35846,0,0.5484,0.39548,0.42811,0.21565,0.56876,0.40113,0.40964,0.17812,1.6334,3.59815,2.1913,1.76875,0,0.0004754,0.0004754,0.0004754
79,1970.52,0.96801,2.4675,1.42167,1.34412,0,0.51139,0.44633,0.45746,0.22129,0.56294,0.43662,0.44407,0.19334,1.70561,3.34556,2.10279,1.85362,0,0.0004556,0.0004556,0.0004556
80,1994.62,0.99756,2.48768,1.44716,1.36003,0,0.5301,0.46893,0.45687,0.23017,0.57705,0.44068,0.44145,0.19273,1.73127,3.49535,2.12488,1.90122,0,0.0004358,0.0004358,0.0004358
